2015-12-21 18:10:50,203 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Cucumber-jvm:Cucumber-jvm:0.0.1-SNAPSHOT @ /Users/user/Desktop/BTS/SoftwareCraftsmanship/Cucumber-jvm/pom.xml.
2015-12-21 18:10:54,852 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-21 18:10:54,940 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/BTS/SoftwareCraftsmanship/Cucumber-jvm/src/main/resources
2015-12-21 18:10:54,943 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-21 18:10:54,944 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/BTS/SoftwareCraftsmanship/Cucumber-jvm/src/test/resources
2015-12-21 18:10:54,966 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Cucumber-jvm/src
2015-12-21 18:10:54,969 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Cucumber-jvm/src/test/java because it overlaps with /Cucumber-jvm/src
2015-12-21 18:10:55,673 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-21 18:10:55,675 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/BTS/SoftwareCraftsmanship/Cucumber-jvm/src/main/resources
2015-12-21 18:10:55,687 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-21 18:10:55,688 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/BTS/SoftwareCraftsmanship/Cucumber-jvm/src/test/resources
2015-12-21 18:10:55,697 [Worker-11] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2015-12-21 18:10:58,953 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Cucumber-jvm:Cucumber-jvm:0.0.1-SNAPSHOT @ /Users/user/Desktop/BTS/SoftwareCraftsmanship/Cucumber-jvm/pom.xml.
2015-12-21 18:10:59,486 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-21 18:10:59,506 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/BTS/SoftwareCraftsmanship/Cucumber-jvm/src/main/resources
2015-12-21 18:10:59,509 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-21 18:10:59,510 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/BTS/SoftwareCraftsmanship/Cucumber-jvm/src/test/resources
2015-12-21 18:10:59,871 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Cucumber-jvm/src
2015-12-21 18:10:59,872 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Cucumber-jvm/src/test/java because it overlaps with /Cucumber-jvm/src
2015-12-21 18:10:59,932 [Worker-11] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 4 sec
2015-12-21 18:11:00,040 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-21 18:11:00,041 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/BTS/SoftwareCraftsmanship/Cucumber-jvm/src/main/resources
2015-12-21 18:11:00,042 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-21 18:11:00,043 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/BTS/SoftwareCraftsmanship/Cucumber-jvm/src/test/resources
